SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING,Security ID,LTP
ARSSBL,Anand Rathi Share and Stock Brokers Limited,EQ,30-Sep-25,759956,613.05
ARTEMISMED,Artemis Medicare Services Limited,EQ,23-Jan-20,16913,270.9
ARTNIRMAN,Art Nirman Limited,EQ,18-Oct-21,6156,46.85
ARVEE,Arvee Laboratories (India) Limited,EQ,22-Mar-21,2814,203.01
ARVIND,Arvind Limited,EQ,08-Feb-95,193,327.25
ARVINDFASN,Arvind Fashions Limited,EQ,08-Mar-19,9111,484
ARVSMART,Arvind SmartSpaces Limited,EQ,26-Aug-15,10457,585.85
ASAHIINDIA,Asahi India Glass Limited,EQ,18-Mar-98,5378,1005.4
ASAHISONG,Asahi Songwon Colors Limited,EQ,29-Aug-11,25088,246.55
ASAL,Automotive Stampings and Assemblies Limited,EQ,12-Mar-02,10634,499.25
ASALCBR,Associated Alcohols & Breweries Ltd.,EQ,12-Feb-20,17598,954.55
ASHAPURMIN,Ashapura Minechem Limited,EQ,20-Sep-95,203,715.15
ASHIANA,Ashiana Housing Limited,EQ,29-Jun-11,24403,293.35
ASHIMASYN,Ashima Limited,EQ,27-Jul-95,206,19.49
ASHOKA,Ashoka Buildcon Limited,EQ,14-Oct-10,20182,167.49
ASHOKAMET,Ashoka Metcast Limited,EQ,27-Jun-23,16943,15.45
ASHOKLEY,Ashok Leyland Limited,EQ,25-May-95,212,159.58
ASIANENE,Asian Energy Services Limited,EQ,09-Dec-21,7030,274
ASIANHOTNR,Asian Hotels (North) Limited,EQ,07-Apr-10,18422,327.1
ASIANPAINT,Asian Paints Limited,EQ,31-May-95,236,2796
ASIANTILES,Asian Granito India Limited,EQ,23-Aug-07,14889,60.67
ASKAUTOLTD,ASK Automotive Limited,EQ,15-Nov-23,20152,469.15
ASMS,Bartronics India Limited,EQ,09-Feb-23,14064,11.42
ASPINWALL,Aspinwall and Company Limited,EQ,14-Jun-16,17270,228.98
ASTEC,Astec LifeSciences Limited,EQ,25-Nov-09,17728,748.55
ASTERDM,Aster DM Healthcare Limited,EQ,26-Feb-18,1508,623.2
ASTRAL,Astral Limited,EQ,20-Mar-07,14418,1428.4
ASTRAMICRO,Astra Microwave Products Limited,EQ,01-Nov-04,11618,899.9
ASTRAZEN,AstraZeneca Pharma India Limited,EQ,04-May-01,5610,9033.5
ASTRON,Astron Paper & Board Mill Limited,EQ,29-Dec-17,874,6.3
ATALREAL,Atal Realtech Limited,EQ,12-May-23,15649,23.92
ATAM,Atam Valves Limited,EQ,10-May-23,15404,80.73
ATGL,Adani Total Gas Limited,EQ,05-Nov-18,6066,590.1
ATHERENERG,Ather Energy Limited,EQ,06-May-25,757645,648.65
ATL,Allcargo Terminals Limited,EQ,10-Aug-23,17778,26.38
ATLANTAELE,Atlanta Electricals Limited,EQ,29-Sep-25,759007,863.9
ATLASCYCLE,Atlas Cycles (Haryana) Limited,EQ,23-Oct-96,4568,92.33
ATUL,Atul Limited,EQ,06-May-98,263,5862.5
ATULAUTO,Atul Auto Limited,EQ,26-Jun-13,30023,434.8
AUBANK,AU Small Finance Bank Limited,EQ,10-Jul-17,21238,972.05
AURIGROW,Auri Grow India Limited,EQ,24-Dec-20,1607,0.66
AURIONPRO,Aurionpro Solutions Limited,EQ,25-Oct-05,12022,1077.2
AUROPHARMA,Aurobindo Pharma Limited,EQ,19-Jul-00,275,1163.6
AURUM,Aurum PropTech Limited,EQ,19-Aug-15,10310,168.37
AUSOMENT,Ausom Enterprise Limited,EQ,17-Apr-96,4037,109.55
AUTOAXLES,Automotive Axles Limited,EQ,29-May-03,278,1839
AUTOIND,Autoline Industries Limited,EQ,31-Jan-07,14106,68.83
AVADHSUGAR,Avadh Sugar & Energy Limited,EQ,28-Jul-17,21406,355.95
AVALON,Avalon Technologies Limited,EQ,18-Apr-23,15058,900.75
AVANTEL,Avantel Limited,EQ,31-Jul-24,24610,142.54
AVANTIFEED,Avanti Feeds Limited,EQ,15-Apr-15,7936,794.75
AVG,AVG Logistics Limited,EQ,12-May-23,15589,168.64
AVL,Aditya Vision Limited,EQ,06-Nov-24,25984,507.45
AVONMORE,Avonmore Capital & Management Services Limited,EQ,04-Jan-23,13557,16.72
AVROIND,AVRO INDIA LIMITED,EQ,07-Apr-22,8827,113.24
AVTNPL,AVT Natural Products Limited,EQ,10-Jan-07,14008,67.49
AWFIS,Awfis Space Solutions Limited,EQ,30-May-24,23864,486.15
AWHCL,Antony Waste Handling Cell Limited,EQ,01-Jan-21,1797,423.75
AWL,AWL Agri Business Limited,EQ,08-Feb-22,8110,246.05
AXISBANK,Axis Bank Limited,EQ,16-Nov-98,5900,1275.9
AXITA,Axita Cotton Limited,EQ,21-Jun-22,9902,10.96
AYMSYNTEX,AYM Syntex Limited,EQ,14-Aug-15,10285,163.26
AZAD,Azad Engineering Limited,EQ,28-Dec-23,20905,1637.4
BAGFILMS,B.A.G Films and Media Limited,EQ,17-Oct-03,11226,6.27
BAIDFIN,Baid Finserv Limited,EQ,20-Jan-23,13794,9.89
BAJAJ-AUTO,Bajaj Auto Limited,EQ,26-May-08,16669,8961
BAJAJCON,Bajaj Consumer Care Limited,EQ,18-Aug-10,19531,257.45
BAJAJELEC,Bajaj Electricals Limited,EQ,02-Nov-07,15034,472.45
BAJAJFINSV,Bajaj Finserv Limited,EQ,26-May-08,16675,2069.5
